id,citation_id
10.1145/3531146.3533087,10.5555/3618408.3619256
10.1145/3531146.3533088,10.1145/3604281
10.1145/3531146.3533088,10.1007/s10676-024-09745-x
10.1145/3531146.3533088,10.1145/3632754.3632939
10.1145/3531146.3533088,10.1145/3628096.3629066
10.1145/3531146.3533088,10.1145/3624918.3625329
10.1145/3531146.3533088,10.1145/3631802.3631842
10.1145/3531146.3533088,10.1145/3631802.3631830
10.1145/3531146.3533088,10.1145/3631802.3631829
10.1145/3531146.3533088,10.1145/3617694.3623226
10.1145/3531146.3533088,10.1145/3583780.3615311
10.1145/3531146.3533088,10.1016/j.nlp.2023.100020
10.1145/3531146.3533088,10.1145/3578337.3605121
10.1145/3531146.3533088,10.1145/3600211.3604722
10.1145/3531146.3533088,10.1145/3600211.3604702
10.1145/3531146.3533088,10.1145/3600211.3604685
10.1145/3531146.3533088,10.1145/3600211.3604673
10.1145/3531146.3533088,10.5555/3618408.3619525
10.1145/3531146.3533088,10.1145/3563657.3596101
10.1145/3531146.3533088,10.1016/j.ece.2023.05.001
10.1145/3531146.3533088,10.1126/science.adi1778
10.1145/3531146.3533088,10.1145/3593013.3594133
10.1145/3531146.3533088,10.1145/3593013.3594090
10.1145/3531146.3533088,10.1145/3593013.3594084
10.1145/3531146.3533088,10.1145/3593013.3594062
10.1145/3531146.3533088,10.1145/3593013.3594050
10.1145/3531146.3533088,10.1145/3593013.3594033
10.1145/3531146.3533088,10.1145/3593013.3594016
10.1145/3531146.3533088,10.1145/3593013.3593989
10.1145/3531146.3533088,10.1038/s41587-023-01789-6
10.1145/3531146.3533088,10.1007/s13347-023-00606-x
10.1145/3531146.3533088,10.5555/3545946.3598842
10.1145/3531146.3533088,10.1007/s43681-023-00289-2
10.1145/3531146.3533088,10.1002/asi.24798
10.1145/3531146.3533088,10.1038/s42254-023-00581-4
10.1145/3531146.3533088,10.1145/3544549.3573794
10.1145/3531146.3533088,10.1145/3544548.3581407
10.1145/3531146.3533088,10.1145/3544548.3581351
10.1145/3531146.3533088,10.1145/3544548.3581278
10.1145/3531146.3533088,10.1145/3544548.3581196
10.1145/3531146.3533088,10.1145/3544548.3580652
10.1145/3531146.3533088,10.18775/ijied.1849-7551-7020.2015.86.2003
10.1145/3531146.3533088,10.1145/3514094.3534188
10.1145/3531146.3533089,10.1145/3610914
10.1145/3531146.3533089,10.1145/3593013.3594005
10.1145/3531146.3533089,10.1145/3593013.3593989
10.1145/3531146.3533089,10.1109/ICASSP49357.2023.10095572
10.1145/3531146.3533089,10.1109/TPS-ISA56441.2022.00013
10.1145/3531146.3533089,10.1109/SEC54971.2022.00050
10.1145/3531146.3533090,10.1016/j.ijhcs.2022.102954
