v,w,weight
"Anderson, Brandon R.","Lin, Hongjin",1
"Anderson, Brandon R.","Whitaker, Reid",1
"Andrus, McKane","Brown, Jeffrey",1
"Andrus, McKane","Spitzer, Elena",1
"Andrus, McKane","Villeneuve, Sarah",1
"Andrus, McKane","Xiang, Alice",1
"Arnesen, Erin","Doshi, Tulsee",1
"Arnesen, Erin","Hutchinson, Ben",1
"Arnesen, Erin","Prabhakaran, Vinodkumar",1
"Arnesen, Erin","Sambasivan, Nithya",1
"Artelt, Andr\'{e}","Hammer, Barbara",1
"Artelt, Andr\'{e}","Kuhl, Ulrike",1
"Aruleba, Kehinde","Birhane, Abeba",1
"Aruleba, Kehinde","Kingsley, Sara",1
"Aruleba, Kehinde","Obaido, George",1
"Aruleba, Kehinde","Remy, Sekou L.",1
"Aruleba, Kehinde","Sadagopan, Swathi",1
"Arya, Vijay","Bellamy, Rachel K. E.",1
"Arya, Vijay","Chen, Pin-Yu",1
"Arya, Vijay","Dhurandhar, Amit",1
"Arya, Vijay","Hind, Michael",1
"Arya, Vijay","Hoffman, Samuel C.",1
"Arya, Vijay","Houde, Stephanie",1
"Arya, Vijay","Liao, Q. Vera",1
"Arya, Vijay","Luss, Ronny",1
"Arya, Vijay","Mojsilovi\'{c}, Aleksandra",1
"Arya, Vijay","Mourad, Sami",1
"Arya, Vijay","Pedemonte, Pablo",1
"Arya, Vijay","Raghavendra, Ramya",1
"Arya, Vijay","Richards, John",1
"Arya, Vijay","Sattigeri, Prasanna",1
"Arya, Vijay","Shanmugam, Karthikeyan",1
"Arya, Vijay","Singh, Moninder",1
"Arya, Vijay","Varshney, Kush R.",1
"Arya, Vijay","Wei, Dennis",1
"Arya, Vijay","Zhang, Yunfeng",1
"Asher, Nicholas","Hunter, Julie",1
"Ashurst, Carolyn","Barocas, Solon",1
"Ashurst, Carolyn","Campbell, Rosie",1
"Ashurst, Carolyn","Carlier, Alexis",1
"Ashurst, Carolyn","Hine, Emmie",1
"Ashurst, Carolyn","Raji, Deborah",1
"Ashurst, Carolyn","Sedille, Paul",1
"Askell, Amanda","Bai, Yuntao",1
"Askell, Amanda","Brown, Tom",1
"Askell, Amanda","Chen, Anna",1
"Askell, Amanda","Clark, Jack",1
"Askell, Amanda","Conerly, Tom",1
"Askell, Amanda","Dassarma, Nova",1
"Askell, Amanda","Drain, Dawn",1
"Askell, Amanda","El Showk, Sheer",1
"Askell, Amanda","Elhage, Nelson",1
"Askell, Amanda","Fort, Stanislav",1
"Askell, Amanda","Ganguli, Deep",1
"Askell, Amanda","Hatfield-Dodds, Zac",1
"Askell, Amanda","Henighan, Tom",1
"Askell, Amanda","Hernandez, Danny",1
"Askell, Amanda","Johnston, Scott",1
"Askell, Amanda","Jones, Andy",1
"Askell, Amanda","Joseph, Nicholas",1
"Askell, Amanda","Kaplan, Jared",1
"Askell, Amanda","Kernian, Jackson",1
"Askell, Amanda","Kravec, Shauna",1
"Askell, Amanda","Lovitt, Liane",1
"Askell, Amanda","Mann, Ben",1
"Askell, Amanda","McCandlish, Sam",1
"Askell, Amanda","Nanda, Neel",1
"Askell, Amanda","Ndousse, Kamal",1
"Askell, Amanda","Olah, Christopher",1
"Askell, Amanda","Olsson, Catherine",1
"Assent, Ira","Bilstrup, Karl-Emi Kj\ae{}r",1
"Assent, Ira","Enni, Simon",1
"Assent, Ira","Kaspersen, Magnus H\o{}holt",1
"Assent, Ira","Petersen, Marianne Graves",1
"Atwood, James","Baljekar, Pallavi",1
"Atwood, James","D'Amour, Alexander",1
"Atwood, James","Halpern, Yoni",1
"Atwood, James","Sculley, D.",1
"Atwood, James","Srinivasan, Hansa",1
"Avila, Sandra","Laranjeira da Silva, Camila",1
"Avila, Sandra","Macedo, Joao",1
"Avila, Sandra","dos Santos, Jefersson",1
"Awasthi, Pranjal","Beutel, Alex",1
"Awasthi, Pranjal","Kleindessner, Matth\""{a}us",1
"Awasthi, Pranjal","Morgenstern, Jamie",1
"Awasthi, Pranjal","Wang, Xuezhi",1
"Ayling, Jacqui","Chapman, Adriane",1
"Ayling, Jacqui","Gammack, David",1
"Ayling, Jacqui","Grylls, Philip",1
"Ayling, Jacqui","Ugwudike, Pamela",1
"Babaei, Mahmoudreza","Benevenuto, Fabricio",1
"Babaei, Mahmoudreza","Cha, Meeyoung",1
"Babaei, Mahmoudreza","Chakraborty, Abhijnan",1
"Babaei, Mahmoudreza","Goga, Oana",1
"Babaei, Mahmoudreza","Gummadi, Krishna P.",2
"Babaei, Mahmoudreza","Henrique, Lucas",1
"Babaei, Mahmoudreza","Kulshrestha, Juhi",1
"Babaei, Mahmoudreza","Messias, Johnnatan",1
"Babaei, Mahmoudreza","Redmiles, Elissa M.",2
"Babaei, Mahmoudreza","Ribeiro, Filipe N.",1
"Babaei, Mahmoudreza","Saha, Koustuv",1
"Babaioff, Moshe","Nisan, Noam",1
"Babaioff, Moshe","Talgam-Cohen, Inbal",1
"Bacciarelli, Anna","Foryciarz, Agata",1
"Bacciarelli, Anna","Hidvegi, Fanny",1
"Bacciarelli, Anna","P\'{e}nicaud, Soizic",1
"Bacciarelli, Anna","Spielkamp, Matthias",1
"Bacciarelli, Anna","Szymielewicz, Katarzyna",1
"Bai, Yuntao","Brown, Tom",1
"Bai, Yuntao","Chen, Anna",1
"Bai, Yuntao","Clark, Jack",1
"Bai, Yuntao","Conerly, Tom",1
"Bai, Yuntao","Dassarma, Nova",1
"Bai, Yuntao","Drain, Dawn",1
"Bai, Yuntao","El Showk, Sheer",1
"Bai, Yuntao","Elhage, Nelson",1
"Bai, Yuntao","Fort, Stanislav",1
"Bai, Yuntao","Ganguli, Deep",1
"Bai, Yuntao","Hatfield-Dodds, Zac",1
"Bai, Yuntao","Henighan, Tom",1
"Bai, Yuntao","Hernandez, Danny",1
"Bai, Yuntao","Johnston, Scott",1
"Bai, Yuntao","Jones, Andy",1
"Bai, Yuntao","Joseph, Nicholas",1
"Bai, Yuntao","Kaplan, Jared",1
"Bai, Yuntao","Kernian, Jackson",1
"Bai, Yuntao","Kravec, Shauna",1
"Bai, Yuntao","Lovitt, Liane",1
"Bai, Yuntao","Mann, Ben",1
"Bai, Yuntao","McCandlish, Sam",1
"Bai, Yuntao","Nanda, Neel",1
"Bai, Yuntao","Ndousse, Kamal",1
"Bai, Yuntao","Olah, Christopher",1
"Bai, Yuntao","Olsson, Catherine",1
"Baker, Dylan","D\'{\i}az, Mark",1
"Baker, Dylan","Denton, Emily",2
"Baker, Dylan","Hanna, Alex",1
"Baker, Dylan","Kivlichan, Ian",1
"Baker, Dylan","Prabhakaran, Vinodkumar",1
"Baker, Dylan","Rosen, Rachel",1
"Baker, Lewis","Baxter, Kathy",1
"Baker, Lewis","Dawson, Julie",1
"Baker, Lewis","Ghosh, Avijit",1
"Baker, Lewis","Jiang, Shan",1
"Baker, Lewis","Kenthapadi, Krishnaram",1
"Baker, Lewis","Kloumann, Isabel",1
"Baker, Lewis","Mislove, Alan",1
"Baker, Lewis","Polli, Frida",1
"Baker, Lewis","Schlesinger, Yoav",1
"Baker, Lewis","Szary, Janelle",1
"Baker, Lewis","Trindel, Kelly",1
"Baker, Lewis","Wallach, Hanna",1
"Baker, Lewis","Wilson, Christo",1
"Bakker, Michiel A.","Cantu, Luis Fernando",1
"Bakker, Michiel A.","Garcia-Bulle, Bernardo",1
"Bakker, Michiel A.","Noriega-Campero, Alejandro",1
"Bakker, Michiel A.","Pentland, Alex",1
"Bakker, Michiel A.","Tejerina, Luis",1
"Balagopalan, Aparna","Ghassemi, Marzyeh",1
"Balagopalan, Aparna","Hamidieh, Kimia",1
"Balagopalan, Aparna","Hartvigsen, Thomas",1
"Balagopalan, Aparna","Rudzicz, Frank",1
"Balagopalan, Aparna","Zhang, Haoran",1
"Balayan, Vladimir","Bel\'{e}m, Catarina",1
"Balayan, Vladimir","Bento, Jo\~{a}o",1
"Balayan, Vladimir","Bizarro, Pedro",1
"Balayan, Vladimir","Gama, Jo\~{a}o",1
"Balayan, Vladimir","Jesus, S\'{e}rgio",1
"Balayan, Vladimir","Saleiro, Pedro",1
"Balayn, Agathe","Bozzon, Alessandro",1
"Balayn, Agathe","Murray-Rust, Dave",1
"Balayn, Agathe","Yurrita, Mireia",1
"Balestriero, Randall","Baraniuk, Richard",1
"Balestriero, Randall","Barberan, Cj",1
"Balestriero, Randall","Liu, Naiming",1
"Baljekar, Pallavi","D'Amour, Alexander",1
"Baljekar, Pallavi","Halpern, Yoni",1
"Baljekar, Pallavi","Sculley, D.",1
"Baljekar, Pallavi","Srinivasan, Hansa",1
"Ball-Burack, Ari","Cobbe, Jennifer",1
"Ball-Burack, Ari","Lee, Michelle Seng Ah",1
"Ball-Burack, Ari","Singh, Jatinder",1
"Ballarin, Audrey","Brubach, Brian",1
"Ballarin, Audrey","Nazeer, Heeba",1
"Balle, Borja","Biles, Courtney",1
"Balle, Borja","Birhane, Abeba",1
"Balle, Borja","Brown, Sasha",1
"Balle, Borja","Cheng, Myra",1
"Balle, Borja","Gabriel, Iason",1
"Balle, Borja","Glaese, Amelia",1
"Balle, Borja","Griffin, Conor",1
"Balle, Borja","Haas, Julia",1
"Balle, Borja","Hawkins, Will",1
"Balle, Borja","Hendricks, Lisa Anne",1
"Balle, Borja","Huang, Po-Sen",1
"Balle, Borja","Irving, Geoffrey",1
"Balle, Borja","Isaac, William",1
"Balle, Borja","Kasirzadeh, Atoosa",1
"Balle, Borja","Kenton, Zac",1
"Balle, Borja","Legassick, Sean",1
"Balle, Borja","Mellor, John",1
"Balle, Borja","Rauh, Maribeth",1
"Balle, Borja","Rimell, Laura",1
"Balle, Borja","Stepleton, Tom",1
"Balle, Borja","Uesato, Jonathan",1
"Balle, Borja","Weidinger, Laura",1
"Balu, Suresh","Bedoya, Armando",1
"Balu, Suresh","Elish, Madeleine Clare",1
"Balu, Suresh","Futoma, Joseph",1
"Balu, Suresh","Gao, Michael",1
"Balu, Suresh","Nichols, Marshall",1
"Balu, Suresh","O'Brien, Cara",1
