n
"Vlasceanu, Madalina"
"Gade, Krishna"
"Geyik, Sahin Cem"
"Mithal, Varun"
"Burke, Robin Douglas"
"Mansoury, Masoud"
"Sonboli, Nasim"
"Sen, Indira"
"Fl\""{o}ck, Fabian"
"Weller, Katrin"
"Wei\ss{}, Bernd"
"Wagner, Claudia"
"Cath, Corinne"
"Latonero, Mark"
"Pakzad, Roya"
"Duarte, Natasha"
"Adams, Stan"
"Kaeser-Chen, Christine"
"Dubois, Elizabeth"
"Sch\""{u}\""{u}r, Friederike"
"Wexler, James"
"Robinson, Sara"
"Bolukbasi, Tolga"
"Blodgett, Su Lin"
"Daum\'{e}, Hal"
"Ganesh, Maya Indira"
"Dechesne, Francien"
"Waseem, Zeerak"
"Dragan, Anca D."
"Ustun, Berk"
"Spangher, Alexander"
"Lai, Vivian"
"Passi, Samir"
"Boyd, Danah"
"Vertesi, Janet"
"Chen, Mo"
"Fischer, Felix"
"Kao, Ching-yu"
"Birnbaum, Michael L."
"Caine, Eric D."
"Silenzio, Vincent M. B."
"De Choudhury, Munmun"
"Obermeyer, Ziad"
"Mullainathan, Sendhil"
"Neel, Seth"
"Goldenfein, Jake"
"Romanov, Alexey"
"Geyik, Sahin"
"Ganguly, Niloy"
"Loiseau, Patrick"
"Babaei, Mahmoudreza"
"Kulshrestha, Juhi"
"Redmiles, Elissa M."
"Ribeiro, Filipe N."
"Saha, Koustuv"
"Henrique, Lucas"
"Messias, Johnnatan"
"Benevenuto, Fabricio"
"Goga, Oana"
"Bountouridis, Dimitrios"
"Harambam, Jaron"
"Makhortykh, Mykola"
"Marrero, M\'{o}nica"
"Hauff, Claudia"
"Kapoor, Sayash"
"Salehi, Farnood"
"Vishnoi, Nisheeth"
"Jabbari, Shahin"
"Jung, Christopher"
"Schutzman, Zachary"
"Babaioff, Moshe"
"Nisan, Noam"
"Talgam-Cohen, Inbal"
"Krause, Andreas"
"Rodriguez, Luke"
"Keller, Emily"
"Sun, Feiyang"
"Sa, Boyang"
"Whittington, Jan"
"Howe, Bill"
"Martin, John"
"Albarghouthi, Aws"
"Vinitsky, Samuel"
"Wu, Simone"
"Vasserman, Lucy"
"Ziani, Juba"
"Immorlica, Nicole"
"Ligett, Katrina"
"Vaughan, Jennifer Wortman"
"Glymour, Bruce"
"Herington, Jonathan"
"Mittelstadt, Brent"
"Wachter, Sandra"
"Benthall, Sebastian"
"Haynes, Bruce D."
"Leong, Brenda"
"Selinger, Evan"
"Canetti, Ran"
"Cohen, Aloni"
"Dikkala, Nishanth"
"Ramnarayan, Govind"
"Scheffler, Sarah"
"Smith, Adam"
"Huang, Lingxiao"
"Keswani, Vijay"
"Scheidegger, Carlos"
"Choudhary, Sonam"
"Hamilton, Evan P."
"Roth, Derek"
"Chen, Jiahao"
"Svacha, Geoffry"
"Udell, Madeleine"
"Madras, David"
"Creager, Elliot"
"Pitassi, Toniann"
"Zemel, Richard"
"Mouzannar, Hussein"
"Ohannessian, Mesrob I."
"Srebro, Nathan"
"Zhang, Michael"
