n
"Binns, Reuben"
"D'Amour, Alexander"
"Srinivasan, Hansa"
"Atwood, James"
"Baljekar, Pallavi"
"Sculley, D."
"Halpern, Yoni"
"Chen, Yiling"
"Kim, Michael P."
"Korolova, Aleksandra"
"Rothblum, Guy N."
"Yona, Gal"
"Yang, Kaiyu"
"Qinami, Klint"
"Fei-Fei, Li"
"Deng, Jia"
"Russakovsky, Olga"
"Mustafaraj, Eni"
"Lurie, Emma"
"Devine, Claire"
"Borradaile, Glencora"
"Burkhardt, Brett"
"LeClerc, Alexandria"
"Rold\'{a}n, Jos\'{e} Mena"
"Vila, Oriol Pujol"
"Marca, Jordi Vitri\`{a}"
"Mothilal, Ramaravind K."
"Sharma, Amit"
"Tan, Chenhao"
"Singh, Jaspreet"
"Anand, Avishek"
"Panigutti, Cecilia"
"Perotti, Alan"
"Pedreschi, Dino"
"Bhatt, Umang"
"Sharma, Shubham"
"Weller, Adrian"
"Taly, Ankur"
"Jia, Yunhan"
"Ghosh, Joydeep"
"Puri, Ruchir"
"Moura, Jos\'{e} M. F."
"Eckersley, Peter"
"Elzayn, Hadi"
"Fish, Benjamin"
"Lundgard, Alan"
"Baker, Dylan"
"Baxter, Kathy"
"Schlesinger, Yoav"
"Aerni, Sarah"
"Dawson, Julie"
"Kenthapadi, Krishnaram"
"Kloumann, Isabel"
"Pritchard, Helen"
"Snodgrass, Eric"
"Morrison, Romi Ron"
"Britton, Loren"
"Moll, Joana"
"Givens, Alexandra Reeve"
"Sassaman, Hannah"
"Lee, Jennifer"
"Irvine, Jenessa"
"Allhutter, Doris"
"Berendt, Bettina"
"Barry, Marguerite"
"Kerr, Aphra"
"Smith, Oliver"
"Szymielewicz, Katarzyna"
"Bacciarelli, Anna"
"Hidvegi, Fanny"
"Foryciarz, Agata"
"P\'{e}nicaud, Soizic"
"Spielkamp, Matthias"
"Ahmad, Muhammad Aurangzeb"
"Teredesai, Ankur"
"Eckert, Carly"
"Williams, Patrick"
"Kind, Eric"
"Wan, Evelyn"
"de Groot, Aviva"
"Jameson, Shazade"
"P\u{a}un, Mara"
"L\""{u}cking, Phillip"
"Klumbyte, Goda"
"L\""{a}mmerhirt, Danny"
"Goss, Ezra"
"Sabin, Manuel"
"Teeple, Stephanie"
"Biega, Asia J."
"Niklas, Jundefineddrzej"
"Arya, Vijay"
"Chen, Pin-Yu"
"Dhurandhar, Amit"
"Hind, Michael"
"Hoffman, Samuel C."
"Houde, Stephanie"
"Luss, Ronny"
"Mojsilovi\'{c}, Aleksandra"
"Mourad, Sami"
"Pedemonte, Pablo"
"Raghavendra, Ramya"
"Richards, John"
"Sattigeri, Prasanna"
"Shanmugam, Karthikeyan"
"Singh, Moninder"
"Varshney, Kush R."
"Wei, Dennis"
"Rakova, Bogdana"
"Chowdhury, Rumman"
"Yang, Jingying"
"Oswald, Marion"
"Powell, David"
"Gade, Krishna"
"Geyik, Sahin Cem"
"Mithal, Varun"
"Burke, Robin Douglas"
"Mansoury, Masoud"
"Sonboli, Nasim"
"Sen, Indira"
"Fl\""{o}ck, Fabian"
"Weller, Katrin"
"Wei\ss{}, Bernd"
"Wagner, Claudia"
"Cath, Corinne"
"Latonero, Mark"
"Pakzad, Roya"
"Duarte, Natasha"
"Adams, Stan"
"Kaeser-Chen, Christine"
"Dubois, Elizabeth"
"Sch\""{u}\""{u}r, Friederike"
"Wexler, James"
"Pushkarna, Mahima"
"Robinson, Sara"
"Bolukbasi, Tolga"
"Zaldivar, Andrew"
"Blodgett, Su Lin"
"Daum\'{e}, Hal"
"Ganesh, Maya Indira"
"Dechesne, Francien"
"Waseem, Zeerak"
"Schmidt, Ludwig"
"Dragan, Anca D."
"Ustun, Berk"
"Spangher, Alexander"
"Russell, Chris"
"Lai, Vivian"
"Passi, Samir"
"Boyd, Danah"
"Vertesi, Janet"
"Engelmann, Severin"
"Chen, Mo"
"Fischer, Felix"
"Kao, Ching-yu"
"Grossklags, Jens"
"Birnbaum, Michael L."
"Caine, Eric D."
"Silenzio, Vincent M. B."
"De Choudhury, Munmun"
"Obermeyer, Ziad"
"Mullainathan, Sendhil"
"Kearns, Michael"
"Neel, Seth"
"Roth, Aaron"
"Goldenfein, Jake"
"Romanov, Alexey"
"Geyik, Sahin"
"Patro, Gourab K."
"Ganguly, Niloy"
"Loiseau, Patrick"
"Babaei, Mahmoudreza"
"Kulshrestha, Juhi"
"Redmiles, Elissa M."
"Cha, Meeyoung"
"Ribeiro, Filipe N."
"Saha, Koustuv"
"Henrique, Lucas"
"Messias, Johnnatan"
"Benevenuto, Fabricio"
"Goga, Oana"
"Bountouridis, Dimitrios"
"Harambam, Jaron"
"Makhortykh, Mykola"
"Marrero, M\'{o}nica"
"Hauff, Claudia"
"Kapoor, Sayash"
"Salehi, Farnood"
"Vishnoi, Nisheeth"
"Jabbari, Shahin"
"Jung, Christopher"
"Schutzman, Zachary"
"Babaioff, Moshe"
"Nisan, Noam"
"Talgam-Cohen, Inbal"
"Krause, Andreas"
"Rodriguez, Luke"
"Keller, Emily"
"Sun, Feiyang"
"Sa, Boyang"
"Whittington, Jan"
"Howe, Bill"
"Martin, John"
"Albarghouthi, Aws"
"Vinitsky, Samuel"
"Wu, Simone"
"Vasserman, Lucy"
"Miller, John"
"Kannan, Sampath"
"Ziani, Juba"
"Immorlica, Nicole"
"Ligett, Katrina"
"Vaughan, Jennifer Wortman"
"Glymour, Bruce"
"Herington, Jonathan"
"Mittelstadt, Brent"
"Wachter, Sandra"
"Benthall, Sebastian"
"Haynes, Bruce D."
"Leong, Brenda"
"Selinger, Evan"
"Canetti, Ran"
"Cohen, Aloni"
"Dikkala, Nishanth"
"Ramnarayan, Govind"
"Scheffler, Sarah"
"Smith, Adam"
"Huang, Lingxiao"
"Keswani, Vijay"
"Scheidegger, Carlos"
"Choudhary, Sonam"
